name,nenndurchmesser,dynamischerDruck,statischerDruck,zufluss,latitude,longitude,ortschaft
HY1,80,4.3,5.8,1074,47.9299452,16.8359719,ND
HY2,80,4.6,6.1,1149,47.9322311,16.8360552,ND
HY3,80,4.6,6,1177,47.9332516,16.836593,ND
HY4,80,4.5,5.9,1151,47.934065,16.8371804,ND
HY5,80,4.4,5.6,1186,47.9356445,16.8492285,ND
HY6,80,5,6,1451,47.9382037,16.8427059,ND
HY7,80,5.1,5.9,1621,47.9382805,16.8407168,ND
HY8,80,5,5.8,1586,47.9393832,16.8397978,ND
HY9,80,5,5.9,1513,47.9410706,16.8406432,ND
HY10,80,4.8,5.7,1448,47.9411925,16.8446214,ND
HY11,80,4.4,5.8,1125,47.9403091,16.8446164,ND
HY12,80,4,5.8,946,47.9369733,16.8508112,ND
HY13,80,4.3,6.2,998,47.9359376,16.8510543,ND
HY14,80,3.6,5.1,899,47.9379174,16.8545361,ND
HY15,80,3.8,4.3,1412,47.9390135,16.8570945,ND
HY16,80,4.3,4.8,1630,47.9392439,16.8559457,ND
HY17,80,5.1,8.2,1016,47.9407341,16.8593743,ND
HY18,80,4.8,6.5,1150,47.9416528,16.8607177,ND
HY19,80,3.9,4.5,1351,47.9412893,16.8572004,ND
HY20,80,4.2,4.7,1586,47.9405502,16.857371,ND
HY21,80,4,4.6,1391,47.9404647,16.8557854,ND
HY22,80,4.3,4.9,1510,47.9396766,16.8542431,ND
HY23,80,4.2,4.7,1586,47.9390904,16.8533934,ND
HY24,80,5.1,6.4,1342,47.9459317,16.8573738,ND
HY25,80,5.3,7.2,1220,47.9450983,16.8557119,ND
HY26,80,3.7,4.2,1368,47.9439827,16.8555939,ND
HY27,80,2.7,4.3,665,47.9434349,16.8552158,ND
HY28,80,3.8,4.7,1125,47.9431812,16.856692,ND
HY29,80,5.8,6.6,1861,47.946043,16.8544459,ND
HY30,80,3.7,4.3,1271,47.946043,16.8544459,ND
HY31,80,3.9,4.4,1455,47.9441045,16.8531813,ND
HY33,80,4.2,4.7,1586,47.9420627,16.850839,ND
HY34,80,4.1,4.6,1543,47.9435013,16.8519224,ND
HY35,80,3.5,4.2,1124,47.9464153,16.8511165,ND
HY36,80,4.8,5.5,1603,47.9430632,16.848883,ND
HY37,80,4.5,5.9,1151,47.9444331,16.8501134,ND
HY38,80,4.5,5.5,1298,47.9470316,16.8482453,ND
HY39,80,4.7,5.8,1312,47.9463165,16.846851,ND
HY40,80,4.5,5.6,1253,47.9451612,16.8459,ND
HY41,80,4.4,5.7,1154,47.9454892,16.8482351,ND
HY42,80,4.3,5.5,1158,47.9442324,16.8473101,ND
HY43,80,4.9,5.4,1892,47.9430782,16.8477223,ND
HY44,80,4.5,5.4,1351,47.9424012,16.8481399,ND
